year;1;2;3;4;5;6
pf_capital;750;600;480;384;307,2;245,76
pf_invest;0;0;0;0;0;0
pf_production;150;150;120;88,44109;66,12633;51,90153
pf_amortization;150;150;120;96;76,8;61,44
pf_income;1500;1530;1248;937,4755;714,1643;570,9168
pf_profit;1200;1372,5;1122;837,0535;634,058;506,8817
pf_toBudget;500;549;448,8;334,8214;253,6232;202,7527
pf_numJobs;25;30;24;19,2;15,36;12,288
pf_reqJobs;0;30;24;19,2;15,36;12,288
f_capital;500;400;320;256;204,8;163,84
f_invest;0;0;0;0;0;0
f_production;100;100;80;58,96072;44,08422;34,60102
f_amortization;100;100;80;64;51,2;40,96
f_income;1000;1020;832;624,9836;476,1096;380,6112
f_profit;800;915;748;558,0356;422,7054;337,9211
f_toBudget;300;366;299,2;223,2142;169,0822;135,1684
f_numJobs;18;20;16;12,8;10,24;8,192
f_reqJobs;0;20;16;12,8;10,24;8,192
aq_capital;200;160;128;102,4;81,92;65,536
aq_invest;0;0;0;0;0;0
aq_production;40;40;32;23,58429;17,63369;13,84041
aq_amortization;40;40;32;25,6;20,48;16,384
aq_income;400;408;332,8;249,9935;190,4438;152,2445
aq_profit;300;366;299,2;223,2142;169,0822;135,1684
aq_toBudget;140;146,4;119,68;89,2857;67,63286;54,06738
aq_numJobs;7;8;6,4;5,12;4,096;3,2768
aq_reqJobs;0;8;6,4;5,12;4,096;3,2768
ag_capital;200;160;128;102,4;81,92;65,536
ag_invest;0;0;0;0;0;0
ag_production;40;40;32;23,58429;17,63369;13,84041
ag_amortization;40;40;32;25,6;20,48;16,384
ag_income;400;408;332,8;249,9935;190,4438;152,2445
ag_profit;300;366;299,2;223,2142;169,0822;135,1684
ag_toBudget;140;146,4;119,68;89,2857;67,63286;54,06738
ag_numJobs;6;8;6,4;5,12;4,096;3,2768
ag_reqJobs;0;8;6,4;5,12;4,096;3,2768
t_capital;100;80;64;51,2;40,96;32,768
t_invest;0;0;0;0;0;0
t_production;20;20;16;11,79214;8,816844;6,920203
t_amortization;20;20;16;12,8;10,24;8,191999
t_income;200;204;166,4;124,9967;95,22192;76,12223
t_profit;100;183;149,6;111,6071;84,54108;67,58422
t_toBudget;70;73,2;59,84;44,64285;33,81643;27,03369
t_numJobs;2;4;3,2;2,56;2,048;1,6384
t_reqJobs;0;4;3,2;2,56;2,048;1,6384
chem_capital;500;450;471,3;534,5785;615,5992;699,6686
chem_invest;0;50;111,3;157,5385;187,9364;207,1893
chem_production;100;100;235,65;267,2892;307,7996;349,8343
chem_amortization;100;100;90;94,25999;106,9157;123,1198
chem_income;0;0;0;0;0;0
chem_profit;0;0;0;0;0;0
chem_toBudget;0;0;0;0;0;0
chem_numJobs;1;2,25;2,3565;2,672892;3,077996;3,498343
chem_reqJobs;0;2,25;2,3565;2,672892;3,077996;3,498343
bio_capital;500;450;471,3;534,5785;615,5992;699,6686
bio_invest;0;50;111,3;157,5385;187,9364;207,1893
bio_production;100;100;235,65;267,2892;307,7996;349,8343
bio_amortization;100;100;90;94,25999;106,9157;123,1198
bio_income;0;0;0;0;0;0
bio_profit;0;0;0;0;0;0
bio_toBudget;0;0;0;0;0;0
bio_numJobs;1;2,25;2,3565;2,672892;3,077996;3,498343
bio_reqJobs;0;2,25;2,3565;2,672892;3,077996;3,498343
fishAmount;2000;2160;2323,574;2420,162;2477,671;2519,665
ejectEColi;500;643;668,015;691,8118;715,8709;741,2984
ejectOrg;5;662;683,215;703,0143;724,2469;747,8726
ejectPhs;600;8;6,4;4,716858;3,526738;2,768081
residueEColi;100;643;1075,365;1499,888;1907,959;2299,423
residueOrg;100;662;1109,565;1545,29;1961,738;2359,776
residuePhs;10;18;24,4;29,11686;32,6436;35,41168
degr;0;3,005044;16,26213;25,92407;33,51673;39,78529
degrLand;0;0,3906558;2,114077;3,37013;4,357175;5,172088
degrSea;0;0,7512611;4,065533;6,481018;8,379182;9,946322
budget;1000;2226;3150,77;3758,728;4143,785;4388,966
moneySpend;100;100;222,6;315,077;375,8728;414,3786
moneyLeft;900;900;2003,4;2835,693;3382,855;3729,406
incomeSum;3500;3570;2912;2187,443;1666,383;1332,139
capitalSum;2750;2300;2062,6;1965,157;1947,998;1972,777
incomeSumPerHum;10;5,69378;4,444343;3,205617;2,350935;1,810557
population;600;627;655,215;682,3781;708,8174;735,7623
employmentRate;25;29,70494;23,1653;18,3717;14,81199;12,11964
unemploymentRate;75;70,29506;76,8347;81,6283;85,188;87,88036
jobsAmSum;60;74,5;60,713;50,14579;41,99599;35,66869
jobsReqSum;60;74,5;60,713;50,14579;41,99599;35,66869
ablePopSum;240;250,8;262,086;272,9512;283,527;294,3049
lifespan;75;75;69,0946;64,57649;63,35635;62,14535
humDevInd;50;50,31842;43,9127;38,70773;35,86798;33,73337
qualityOfEnv;1;1;0,9212613;0,8610198;0,8447514;0,8286047
pop_inc;0;4,5;4,5;4,145676;3,874589;3,801381
