year;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
pf_capital;750;600;480;384;307,2;245,76;196,608;157,2864;125,8291;100,6633;80,53064;64,42451;51,53961;41,23169;32,98535;26,38828;21,11062;16,8885;13,5108;10,80864
pf_invest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pf_production;150;150;120;80,8394;55,54941;42,72141;32,8373;25,22539;19,36643;14,85917;11,3937;9,114962;7,291969;5,833576;4,66686;3,733488;2,986791;2,389433;1,911546;1,529237
pf_amortization;150;150;120;96;76,8;61,44;49,152;39,3216;31,45728;25,16582;20,13266;16,10613;12,8849;10,30792;8,246338;6,59707;5,277656;4,222125;3,3777;2,70216
pf_income;1500;1530;1248;856,8976;599,9337;469,9355;367,7777;287,5694;224,6506;175,3382;136,7244;111,2025;90,42042;73,50305;59,73581;48,53535;39,42564;32,0184;25,99703;21,10347
pf_profit;1200;1372,5;1122;756,8557;520,3562;406,3594;316,9839;246,9866;192,225;149,4295;116,0221;94,64066;77,17091;62,90345;51,25613;41,7516;33,99864;27,6768;22,52375;18,32485
pf_toBudget;500;549;448,8;302,7422;208,1425;162,5437;126,7935;98,79462;76,89001;59,77178;46,40883;37,85626;30,86837;25,16138;20,50245;16,70064;13,59946;11,07072;9,0095;7,329939
pf_numJobs;25;30;24;19,2;15,36;12,288;9,8304;7,86432;6,291456;5,033165;4,026532;3,221226;2,576981;2,061584;1,649268;1,319414;1,055531;0,844425;0,67554;0,540432
pf_reqJobs;0;30;24;19,2;15,36;12,288;9,8304;7,86432;6,291456;5,033165;4,026532;3,221226;2,576981;2,061584;1,649268;1,319414;1,055531;0,844425;0,67554;0,540432
f_capital;500;400;320;256;204,8;163,84;131,072;104,8576;83,88607;67,10886;53,68708;42,94967;34,35973;27,48779;21,99023;17,59218;14,07375;11,259;9,007198;7,205759
f_invest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
f_production;100;100;80;53,89293;37,03294;28,48094;21,89153;16,81692;12,91095;9,906114;7,5958;6,076641;4,861312;3,88905;3,11124;2,488992;1,991193;1,592955;1,274364;1,019491
f_amortization;100;100;80;64;51,2;40,96;32,768;26,2144;20,97152;16,77721;13,42177;10,73742;8,589933;6,871947;5,497558;4,398046;3,518437;2,814749;2,2518;1,80144
f_income;1000;1020;832;571,2651;399,9558;313,2903;245,1851;191,7129;149,767;116,8921;91,1496;74,13502;60,28027;49,00203;39,82387;32,35689;26,28375;21,34559;17,33135;14,06898
f_profit;800;915;748;504,5704;346,9041;270,9063;211,3225;164,6577;128,15;99,61962;77,34805;63,09377;51,44727;41,93563;34,17075;27,8344;22,66576;18,4512;15,01583;12,21656
f_toBudget;300;366;299,2;201,8282;138,7617;108,3625;84,52901;65,86308;51,25999;39,84785;30,93922;25,23751;20,57891;16,77425;13,6683;11,13376;9,066302;7,380479;6,006331;4,886624
f_numJobs;18;20;16;12,8;10,24;8,192;6,5536;5,242879;4,194304;3,355443;2,684354;2,147484;1,717987;1,374389;1,099512;0,8796092;0,7036874;0,5629499;0,4503599;0,3602879
f_reqJobs;0;20;16;12,8;10,24;8,192;6,5536;5,242879;4,194304;3,355443;2,684354;2,147484;1,717987;1,374389;1,099512;0,8796092;0,7036874;0,5629499;0,4503599;0,3602879
aq_capital;200;160;128;102,4;81,92;65,536;52,42879;41,94304;33,55443;26,84354;21,47483;17,17987;13,74389;10,99512;8,796092;7,036874;5,629499;4,503599;3,602879;2,882303
aq_invest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
